afck-00259	“Black life expectancy defied AIDS and rose from age 53 to 60 in five years between 2006 and 2011.”	mostly-correct	https://africacheck.org/reports/more-claims-of-south-africas-spectacular-transformation-fact-checked/	None	None	None	None	None	More claims of S. Africa’s ‘spectacular transformation’ fact-checked	2015-11-19 11:28	None	['None']
afck-00379	“In 2009, the ANC left the province with over 6,000 health department vacancies. The vacancy rate for nurses was 34%. By 2013, the DA had brought this down to just 1%.”	unproven	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['None']
afck-00394	“80% of the R2 billion spent by the Western Cape Government on tenders during 2012/2013 was paid to #BEEbusinesses. #DAdelivers”	correct	https://africacheck.org/reports/does-south-africas-democratic-alliance-really-deliver-we-assess-their-claims/	None	None	None	None	None	Does South Africa’s Democratic Alliance really deliver? We assess their claims	2014-03-25 08:47	None	['None']
afck-00431	“You will also recall that Census 2011 outlined the successes in extending basic services. The report said the number of households with access to electricity is now at 12.1 million, which translates to 85%. Nine out of 10 households have access to water.”	correct	https://africacheck.org/reports/the-state-of-the-nation-address-fact-checked/	None	None	None	None	None	The State of the Nation Address: fact-checked	2013-02-15 12:06	None	['None']
afck-00029	“It is important to note that up to the 2017/18 financial year, county governments have received cumulative of KSh1.25 trillion shillings as equitable share…”	mostly-correct	https://africacheck.org/reports/hit-or-miss-5-claims-by-kenyan-governors-fact-checked/	None	None	None	None	None	Hit or miss? 5 claims by Kenyan governors fact-checked	2018-07-04 01:06	None	['None']
afck-00056	“Black students obtaining a university degree are more than double the number of white students at the moment.”	correct	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00150	“Every year, the Jubilee government’s development budget has exceeded the national revenue share of the counties.”	correct	https://africacheck.org/reports/fact-checked-claims-from-kenyas-alternative-state-of-the-nation/	None	None	None	None	None	Fact-checked: Claims from Kenya’s ‘alternative’ State of the Nation	2017-03-31 06:08	None	['None']
afck-00248	“The multiple bid windows of the Renewable Independent Power Producer Programme have attracted an investment of R194 billion.”	mostly-correct	https://africacheck.org/reports/did-zuma-get-his-sona2016-facts-straight/	None	None	None	None	None	Did Zuma get his #SoNA2016 facts straight?	2016-02-11 07:51	None	['None']
afck-00045	“We have increased health facilities from 9,000 in 2013 to 11,000 in 2017.”	incorrect	https://africacheck.org/reports/uhuru-kenyattas-2018-state-of-the-nation-address-fact-checked/	None	None	None	None	None	Uhuru Kenyatta’s 2018 State of The Nation Address fact-checked	2018-05-02 06:20	None	['None']
afck-00053	The world’s average water consumption is 185 litres per person per day.	unproven	https://africacheck.org/reports/south-africans-guzzle-235-litres-water-per-day/	None	None	None	None	None	Does South Africa guzzle 235 litres of water per person daily?	2018-04-11 09:52	None	['None']
afck-00081	“Agriculture has made the largest contribution… to the improved growth of our economy in the second and third quarters of 2017.”	correct	https://africacheck.org/reports/state-of-the-nation-address-1-president-cyril-ramaphosas-claims-weighed-up/	None	None	None	None	None	Fact-checked: Pres Cyril Ramaphosa’s first-ever State of the Nation Address	2018-02-16 06:36	None	['None']
afck-00302	“In a related survey, a quarter of Soweto schoolboys described “jackrolling” – a local term for gang rape – as ‘fun’.”	unproven	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['None']
afck-00435	“There is increased visibility of the police which contributes to the reduction in the levels of serious crime. The operations focusing on illegal firearms, stolen and robbed vehicles, liquor and drugs which are regarded as main generators of crime have assisted in crime reduction.”	mostly-correct	https://africacheck.org/reports/the-state-of-the-nation-address-fact-checked/	None	None	None	None	None	The State of the Nation Address: fact-checked	2013-02-15 12:06	None	['None']
afck-00035	“The inflationary rate has consistently declined every month since January 2017″	correct	https://africacheck.org/reports/buharis-2018-democracy-day-speech-7-main-claims-under-scrutiny/	None	None	None	None	None	Buhari’s 2018 Democracy Day speech: 7 main claims under scrutiny	2018-05-29 01:51	None	['None']
afck-00099	“Eating yam increases the chances of having twins.”	unproven	https://africacheck.org/reports/does-nigerias-yoruba-tribe-have-the-worlds-highest-twin-birth-rate-and-are-yams-to-blame/	None	None	None	None	None	Do Nigeria’s Yoruba people have the world’s highest twin birth rate? (And are yams to blame?)	2017-10-05 08:24	None	['None']
afck-00018	“Oil still earns 90% of Nigeria’s foreign exchange”	mostly-correct	https://africacheck.org/reports/nigerias-economy-services-drive-gdp-but-oil-still-dominates-exports/	None	None	None	None	None	Nigeria’s economy: services drive GDP, but oil still dominates exports	2018-08-29 09:15	None	['None']
afck-00326	“The fight against corruption continues to be taken forward by the Anti-Corruption Inter-Ministerial Committee. Government has in place seven anti-corruption institutions and 17 pieces of legislation which are intended to combat corruption. This demonstrates a concerted effort by government to break the back of this scourge in the country. In the 2013/14 financial year, 52 persons were convicted in cases involving more than R5-million. Thirty one public servants were convicted in the first quarter of 2014/15 and freezing orders to the value of R430-million were obtained.”	understated	https://africacheck.org/reports/sona-2015-more-key-claims-fact-checked/	None	None	None	None	None	SONA 2015: More key claims fact-checked	2015-02-17 09:03	None	['None']
afck-00266	“The percentage of black judges increased 248% from 25% to 62% between 2000 and 2012.”	incorrect	https://africacheck.org/reports/claims-of-south-africas-spectacular-transformation-fact-checked/	None	None	None	None	None	Claims of South Africa’s ‘spectacular transformation’ fact-checked	2015-10-23 06:12	None	['None']
afck-00197	“[South Africa’s] unemployment rate is one of the highest in the world.”	correct	https://africacheck.org/reports/sa-deputy-president-correct-on-countrys-unemployment/	None	None	None	None	None	SA deputy president correct on country’s unemployment	2016-10-11 10:06	None	['None']
afck-00247	“There has been no load-shedding since August last year.”	incorrect	https://africacheck.org/reports/did-zuma-get-his-sona2016-facts-straight/	None	None	None	None	None	Did Zuma get his #SoNA2016 facts straight?	2016-02-11 07:51	None	['None']
afck-00264	“The number of black people earning more than R400,000 a year grew 1,000% from 120,000 to 1.2 million between 2000 and last year; 90% are in the private sector.”	unproven	https://africacheck.org/reports/claims-of-south-africas-spectacular-transformation-fact-checked/	None	None	None	None	None	Claims of South Africa’s ‘spectacular transformation’ fact-checked	2015-10-23 06:12	None	['None']
afck-00093	“Over 200,000 unemployed graduates have been employed under the N-Power Scheme in education, health and agriculture.”	unproven	https://africacheck.org/reports/hit-or-miss-taking-stock-of-5-claims-in-buharis-2018-budget-speech/	None	None	None	None	None	Hit or miss? Taking stock of 5 claims in Buhari’s 2018 budget speech	2017-11-29 11:15	None	['None']
afck-00430	The petrol price went from R1.73 to R12.83 per litre in the past 19 years.	correct	https://africacheck.org/reports/is-sa-worse-off-now-than-19-years-ago-the-facts-behind-that-facebook-post/	None	None	None	None	None	Is SA worse off now than 19 years ago? The facts behind THAT Facebook post	2013-11-28 05:16	None	['None']
afck-00321	“An average of 49% of the learners who should have sat for exams in 2014 dropped out of school.”	mostly-correct	https://africacheck.org/reports/julius-malemas-sona-2015-debate-speech-fact-checked/	None	None	None	None	None	Julius Malema’s SONA 2015 debate speech fact-checked	2015-02-25 01:19	None	['None']
afck-00038	“[Government] has ensured proper funding at the Basic Education level with the disbursement of N42.2 billion UBE Matching Grant to 26 States and the FCT”	unproven	https://africacheck.org/reports/buharis-2018-democracy-day-speech-7-main-claims-under-scrutiny/	None	None	None	None	None	Buhari’s 2018 Democracy Day speech: 7 main claims under scrutiny	2018-05-29 01:51	None	['None']
afck-00271	“On average, a black family comprises six people compared with a white family of three people.”	incorrect	https://africacheck.org/reports/race-poverty-and-inequality-black-first-land-first-claims-fact-checked/	None	None	None	None	None	Race, poverty and inequality: Black First Land First claims fact-checked	2015-08-27 02:44	None	['None']
afck-00207	“According to South African Police Service figures, 60% of crimes nationally were related to substance abuse.”	unproven	https://africacheck.org/reports/do-15-of-s-africans-have-a-drug-problem-we-fact-check-4-shocking-drug-statistics/	None	None	None	None	None	Do 15% of SA’s population have a drug problem? We fact-check 4 ‘shocking stats’	2016-06-23 05:37	None	['None']
afck-00272	“Whites are only 10% of the economically active population but occupy more than 60% of the top management positions.”	mostly-correct	https://africacheck.org/reports/race-poverty-and-inequality-black-first-land-first-claims-fact-checked/	None	None	None	None	None	Race, poverty and inequality: Black First Land First claims fact-checked	2015-08-27 02:44	None	['None']
afck-00400	“We have created 3.7 million work opportunities over the past five years.”	unproven	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['None']
afck-00028	“Electricity production was 1.8 TWh in 2003 and 2017..”	incorrect	https://africacheck.org/reports/eskom-and-the-viral-infographic-do-the-numbers-add-up/	None	None	None	None	None	Eskom and the viral infographic: do the numbers add up?	2018-07-09 07:54	None	['None']
afck-00014	“Nigeria’s voting population is six times smaller than India’s.”	incorrect	https://africacheck.org/reports/checked-two-claims-about-the-astronomical-cost-of-nigerias-election/	None	None	None	None	None	Checked: Two claims about the ‘astronomical’ cost of Nigeria’s election	2018-09-05 10:53	None	['India', 'Nigeria']
afck-00156	“Our ratio of police to the population is 1 officer for 380 citizens, better than the prescribed UN ratio of 1 officer for every 450 citizens.”	incorrect	https://africacheck.org/reports/fact-checked-kenyattas-2017-state-nation-address/	None	None	None	None	None	Fact-checked: Kenyatta’s 2017 State of the Nation Address	2017-03-17 08:39	None	['None']
afck-00155	“Girls who get pregnant below the age of 15 are 5 times as likely to die as girls who get pregnant at the age of 20.”	unproven	https://africacheck.org/reports/nigerian-girls-plight-claims-teen-marriage-pregnancy-fact-checked/	None	None	None	None	None	Nigerian girls’ plight: Claims about teen marriage & pregnancy fact-checked	2017-03-29 10:24	None	['None']
afck-00335	“More than 20 million South Africans have taken the HIV test since the launch of the campaign in 2011 which indicates confidence in the health system.”	understated	https://africacheck.org/reports/2014-sona-claims-revisited-zuma-on-hivaids/	None	None	None	None	None	2014 SONA claims revisited: Zuma on HIV/Aids	2015-02-12 03:11	None	['None']
afck-00159	“Our debt is at about 50% of our gross domestic product.”	understated	https://africacheck.org/reports/fact-checked-kenyattas-2017-state-nation-address/	None	None	None	None	None	Fact-checked: Kenyatta’s 2017 State of the Nation Address	2017-03-17 08:39	None	['None']
afck-00368	“Nearly 80,000 land claims, totalling 3.4 million hectares, have been settled. 1.8 million people have benefited.”	mostly-correct	https://africacheck.org/reports/does-the-anc-have-a-good-story-to-tell-we-examine-key-election-claims/	None	None	None	None	None	Does the ANC have a ‘good story to tell’? We examine key election claims	2014-04-25 05:00	None	['None']
afck-00090	“This administration was able to invest an unprecedented sum of over N1.2 trillion in capital projects through the 2016 budget… the highest ever in the history of this country.”	incorrect	https://africacheck.org/reports/hit-or-miss-taking-stock-of-5-claims-in-buharis-2018-budget-speech/	None	None	None	None	None	Hit or miss? Taking stock of 5 claims in Buhari’s 2018 budget speech	2017-11-29 11:15	None	['None']
afck-00376	“The [Western Cape] was also the only province with no irregular or unauthorised spending.”	unproven	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['None']
afck-00283	“[The] prevention of mother-to-child transmission of HIV improved from 1.8% in 2013-2014 to 0.09% in the first quarter of 2014-2015.”	incorrect	https://africacheck.org/reports/crisis-what-crisis-africa-check-tests-free-state-health-claims/	None	None	None	None	None	Crisis? What crisis? Africa Check tests Free State health claims	2015-06-12 05:45	None	['None']
afck-00059	“We boast the highest unemployment rate in the world”	incorrect	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00301	“According to research by the anti-violence NGO, CIET, 20% of men said the victim ‘asked for it’.”	incorrect	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['None']
afck-00117	“In South Africa, every 8 hours a woman is killed…”	incorrect	https://africacheck.org/reports/femicide-sa-3-numbers-murdering-women-investigated/	None	None	None	None	None	Femicide in South Africa: 3 numbers about the murdering of women investigated	2017-07-13 08:08	None	['South_Africa']
afck-00095	“Over five million Nigerians are living with either the type 1 or type 2 diabetes.”	mostly-correct	https://africacheck.org/reports/nigeria-people-diabetes-sub-saharan-africa/	None	None	None	None	None	Does Nigeria have the most people with diabetes in sub-Saharan Africa?	2017-11-01 07:44	None	['None']
afck-00325	“We are a democratic state and recognise the community’s right to protest. We however appeal that these protests should be within the ambit of the law and must be peaceful as stated in the Constitution. The police successfully brought under control 13,575 recorded public order incidents, comprising 1,907 unrest-related and 11,668 peaceful incidents.”	unproven	https://africacheck.org/reports/sona-2015-more-key-claims-fact-checked/	None	None	None	None	None	SONA 2015: More key claims fact-checked	2015-02-17 09:03	None	['None']
afck-00397	“8 of the top 10 South African municipalities in the Municipal IQ’s Productivity Index are governed by @DA_News. #DAdelivers”	mostly-correct	https://africacheck.org/reports/does-south-africas-democratic-alliance-really-deliver-we-assess-their-claims/	None	None	None	None	None	Does South Africa’s Democratic Alliance really deliver? We assess their claims	2014-03-25 08:47	None	['South_Africa']
afck-00061	“27% of children under the age of 5 are stunted, nearly 30% of boys and 25% of girls.”	correct	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00240	“At the last analysis of the ratings of television programmes the parliamentary channel was rated as one of the most watched programmes.”	mostly-correct	https://africacheck.org/reports/fact-checking-the-sona2016-debates/	None	None	None	None	None	Fact-checking the #SoNA2016 debates	2016-02-16 02:07	None	['None']
afck-00244	“Recently the influential site Buzzfeed voted South Africa as the most beautiful country in the world.”	incorrect	https://africacheck.org/reports/fact-checking-the-sona2016-debates/	None	None	None	None	None	Fact-checking the #SoNA2016 debates	2016-02-16 02:07	None	['South_Africa']
afck-00198	“The key challenge [in South Africa] is that the majority of these people who are unemployed are young people.”	correct	https://africacheck.org/reports/sa-deputy-president-correct-on-countrys-unemployment/	None	None	None	None	None	SA deputy president correct on country’s unemployment	2016-10-11 10:06	None	['South_Africa']
afck-00193	The National Student Financial Aid Scheme (NSFAS) currently covers over 75% of students in tertiary institutions.	unproven	https://africacheck.org/reports/zumas-anc-birthday-speech-6-claims-fact-checked/	None	None	None	None	None	Zuma’s ANC birthday speech: 6 claims fact-checked	2017-01-12 09:06	None	['None']
afck-00384	“Since the end of 2012, South Africa’s unemployed population has grown by 121,000. In the Western Cape the unemployed population has shrunk by 48,000.”	correct	https://africacheck.org/reports/is-the-das-western-cape-story-a-good-story-to-tell-we-examine-the-claims/	None	None	None	None	None	Is the DA’s Western Cape Story a ‘good story to tell’? We examine the claims	2014-03-28 05:02	None	['South_Africa']
afck-00245	“Our government has also taken action to address the funding needs of the poorest as shown as having invested over R50 billion in loans and bursaries via the National Student Financial Aid Scheme (NSFAS).”	unproven	https://africacheck.org/reports/fact-checking-the-sona2016-debates/	None	None	None	None	None	Fact-checking the #SoNA2016 debates	2016-02-16 02:07	None	['None']
afck-00316	“South Africans have continued to trust government with their taxes. South Africa’s budget in 1994 was R135.1-billion; by 2004 this had doubled to R370-billion and R834-billion in 2009. The Minister of Finance recently announced a budget of R1.3-trillion. This means that since 2009 we have added more than the equivalent of the entire budget of 2004 and seen a 1,000% increase since 1994.”	incorrect	https://africacheck.org/reports/has-president-jacob-zumas-government-done-a-good-job/	None	None	None	None	None	Has President Jacob Zuma’s government done ‘a good job’?	2015-03-23 07:37	None	['None']
afck-00111	“17 million beneficiaries receive social grants”	mostly-correct	https://africacheck.org/reports/sas-secret-ballot-debate-6-anc-achievements-scrutinised/	None	None	None	None	None	SA’s secret-ballot debate: 6 ANC achievements scrutinised	2017-08-17 08:52	None	['None']
afck-00184	“Compliance levels with parole and probation conditions have improved to reach a historic mark of 98%.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00048	“You might also recall the expansion of Last-Mile Connectivity, which has brought electricity to 71% of households, up from 27% in 2013.”	incorrect	https://africacheck.org/reports/uhuru-kenyattas-2018-state-of-the-nation-address-fact-checked/	None	None	None	None	None	Uhuru Kenyatta’s 2018 State of The Nation Address fact-checked	2018-05-02 06:20	None	['None']
afck-00092	“Our tax-to-GDP ratio of about 6% is one of the lowest in the world.”	correct	https://africacheck.org/reports/hit-or-miss-taking-stock-of-5-claims-in-buharis-2018-budget-speech/	None	None	None	None	None	Hit or miss? Taking stock of 5 claims in Buhari’s 2018 budget speech	2017-11-29 11:15	None	['None']
afck-00086	“In 2 and a half years in power, Buhari has not even built one nursery school.”	misleading	https://africacheck.org/reports/nigerias-president-not-built-even-nursery-school-jonathan-aide-claimed/	None	None	None	None	None	Has Nigeria’s president not built even a nursery school, as Jonathan aide claimed?	2018-01-15 09:07	None	['None']
afck-00250	“…life expectancy of South Africans for both males and females has significantly improved and is currently 62 years across genders, which is an increase of eight and a half years since 2005.”	mostly-correct	https://africacheck.org/reports/did-zuma-get-his-sona2016-facts-straight/	None	None	None	None	None	Did Zuma get his #SoNA2016 facts straight?	2016-02-11 07:51	None	['None']
afck-00392	“The [South African] gap between the ‘haves’ & the ‘havenots’ is smallest in City of Cape Town. It has the highest level of equality in SA. #DAdelivers”	mostly-correct	https://africacheck.org/reports/does-south-africas-democratic-alliance-really-deliver-we-assess-their-claims/	None	None	None	None	None	Does South Africa’s Democratic Alliance really deliver? We assess their claims	2014-03-25 08:47	None	['South_Africa']
afck-00023	“30% of pupils drop out of primary school.”	understated	https://africacheck.org/reports/crisis-in-nigerian-schooling-grading-three-claims-by-presidential-hopeful/	None	None	None	None	None	Crisis in Nigerian schooling? Grading three claims by presidential hopeful	2018-07-31 09:43	None	['None']
afck-00351	Mmusi Maimane, Democratic Alliance parliamentary leader: “Since the end of 2012, South Africa’s unemployed population has grown by 121,000.”	incorrect	https://africacheck.org/reports/sona-unemployment-claims-unpacked/	None	None	None	None	None	SONA unemployment claims unpacked	2014-06-26 06:16	None	['Democratic_Alliance_(South_Africa)', 'South_Africa']
afck-00168	“Government also settled all debt owed by National Student Financial Aid Scheme (NSFAS) students.”	misleading	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00166	“To date, nearly 7 million households have been connected to the grid and now have the electricity.”	correct	https://africacheck.org/reports/facts-alternative-facts-zumas-10th-state-nation-address-checked/	None	None	None	None	None	Facts or alternative facts? Zuma’s 10th State of the Nation Address checked	2017-02-10 07:12	None	['None']
afck-00073	“The Accelerated Schools Infrastructure Delivery Initiative programme continues to deliver modern facilities to our schools… with at least 187 schools being completed to date.“	correct	https://africacheck.org/reports/state-of-the-nation-address-1-president-cyril-ramaphosas-claims-weighed-up/	None	None	None	None	None	Fact-checked: Pres Cyril Ramaphosa’s first-ever State of the Nation Address	2018-02-16 06:36	None	['None']
afck-00421	South Africa is the country where the most car hijackings take place.	unproven	https://africacheck.org/reports/is-sa-worse-off-now-than-19-years-ago-the-facts-behind-that-facebook-post/	None	None	None	None	None	Is SA worse off now than 19 years ago? The facts behind THAT Facebook post	2013-11-28 05:16	None	['South_Africa']
afck-00003	“Only 3.2 million people actually pay PAYE.”	correct	https://africacheck.org/reports/is-top-ruling-jubilee-party-official-right-about-who-is-paying-income-tax-in-kenya/	None	None	None	None	None	Is top ruling Jubilee Party official right about who is paying income tax in Kenya?	2018-10-30 08:29	None	['None']
afck-00319	“The 17.5 million hectares of fertile soil in communal land areas must be unlocked for reform purposes. State-owned land must be fully audited and used to fast-track redistribution to deserving beneficiaries.”	incorrect	https://africacheck.org/reports/mmusi-maimane-sona-2015-response-fact-checked/	None	None	None	None	None	Mmusi Maimane’s SONA 2015 response fact-checked	2015-02-25 01:20	None	['None']
afck-00012	“Kenya spends 43% of its national budget on development.”	incorrect	https://africacheck.org/reports/tax-revenue-and-development-spend-does-kenyas-majority-leader-get-his-numbers-right/	None	None	None	None	None	Tax revenue & development spend: does Kenya’s majority leader get his numbers right?	2018-09-14 08:30	None	['Kenya']
afck-00436	“Five years ago, South Africa had such a low life expectancy that experts suggested that by 2015, our life expectancy would have been exactly where it was in 1955. It was with good reason that we were delighted when late last year, studies from the Medical Research Council, the Lancet medical journal and others began reporting a dramatic increase in life expectancy from an average baseline of 56 years in 2009 to 60 years in 2011. These reports also noted significant decreases in infant and under five mortality.”	unproven	https://africacheck.org/reports/the-state-of-the-nation-address-fact-checked/	None	None	None	None	None	The State of the Nation Address: fact-checked	2013-02-15 12:06	None	['The_Lancet', 'South_Africa']
afck-00153	“Kenya’s industrial power costs remain much higher than that of our competitors.”	mostly-correct	https://africacheck.org/reports/fact-checked-claims-from-kenyas-alternative-state-of-the-nation/	None	None	None	None	None	Fact-checked: Claims from Kenya’s ‘alternative’ State of the Nation	2017-03-31 06:08	None	['None']
afck-00339	“Since 1994, nearly 5,000 farms, comprising 4.2-million hectares, have been transferred to black people, benefiting over 200,000 families.”	unproven	https://africacheck.org/reports/2014-sona-claims-revisited-zuma-on-land-reform/	None	None	None	None	None	2014 SONA claims revisited: Zuma on land reform	2015-02-12 08:26	None	['None']
afck-00275	“…education continues to receive the biggest chunk of the national budget.”	correct	https://africacheck.org/reports/checked-sa-president-zumas-youth-day-claims/	None	None	None	None	None	SA President’s Youth Day claims examined	2015-06-17 10:35	None	['None']
afck-00022	“One doctor to less than 300 patients in South Africa’s private healthcare sector”	incorrect	https://africacheck.org/reports/does-one-sa-doctor-treat-over-4000-patients-in-public-care-but-less-than-300-privately/	None	None	None	None	None	Does one SA doctor treat 4,000 patients in public care, but fewer than 300 privately?	2018-08-07 11:47	None	['None']
afck-00406	“The tourism industry has grown dramatically. In 1993, South Africa received a mere 3 million foreign visitors. By 2012, the figure had grown to 13 million visitors.”	exaggerated	https://africacheck.org/reports/a-first-look-at-president-jacob-zumas-2014-state-of-the-nation-address/	None	None	None	None	None	President Jacob Zuma’s sixth State of the Nation address fact-checked	2014-02-14 12:39	None	['South_Africa']
afck-00286	“Of the total number of deaths due to assault and intentional self-harm in the country, 69% and 59% of them, respectively, occurred among those aged 15-34 years.”	correct	https://africacheck.org/reports/national-youth-policy-health-and-violence/	None	None	None	None	None	National Youth Policy: crime & health claims fact-checked	2015-06-11 11:46	None	['None']
afck-00162	“Today, we have connected an additional 3.7 million new homes to electricity.”	incorrect	https://africacheck.org/reports/fact-checked-kenyattas-2017-state-nation-address/	None	None	None	None	None	Fact-checked: Kenyatta’s 2017 State of the Nation Address	2017-03-17 08:39	None	['None']
afck-00097	“There are over 10,000 children working as prostitutes in Johannesburg at the moment.”	incorrect	https://africacheck.org/reports/fact-checked-2-claims-slavery-child-prostitutes-sa/	None	None	None	None	None	FACT-CHECKED: 2 claims about slavery & ‘child prostitutes’ in SA	2017-10-26 09:08	None	['Johannesburg']
afck-00010	“In 2002, when the National Rainbow Coalition took over power, Kenya Revenue Authority was collecting close to about KSh600 billion.”	incorrect	https://africacheck.org/reports/tax-revenue-and-development-spend-does-kenyas-majority-leader-get-his-numbers-right/	None	None	None	None	None	Tax revenue & development spend: does Kenya’s majority leader get his numbers right?	2018-09-14 08:30	None	['None']
afck-00419	South Africa is the rape capital of the world.	unproven	https://africacheck.org/reports/is-sa-worse-off-now-than-19-years-ago-the-facts-behind-that-facebook-post/	None	None	None	None	None	Is SA worse off now than 19 years ago? The facts behind THAT Facebook post	2013-11-28 05:16	None	['South_Africa']
afck-00020	“More than 10 million youth are unemployed.”	correct	https://africacheck.org/reports/nigerian-joblessness-at-all-time-high-checking-a-politicians-claims/	None	None	None	None	None	Nigerian joblessness at all-time high? Checking a politician’s claims	2018-08-13 08:34	None	['None']
afck-00132	“We have in the last 2 years added US$500 million to our sovereign wealth fund.”	unproven	https://africacheck.org/reports/nigerias-democracy-day-speech-fact-checking-government-savings-rice-imports-infrastructure-spend/	None	None	None	None	None	Nigeria’s Democracy Day speech: Fact-checking sovereign savings, rice imports & infrastructure spend	2017-06-14 11:15	None	['None']
afck-00220	“…the Drakenstein municipality managed to reduce annual water losses from 34.8% to 12.1% in little over a decade. The campaign also showcases how DA local governments can reverse the decline of a municipality by identifying problems and taking proactive steps to address them.”	incorrect	https://africacheck.org/reports/does-the-da-create-change-that-moves-sa-forward-we-weigh-up-key-claims/	None	None	None	None	None	Does the DA create ‘change that moves SA forward’? We weigh up key claims	2016-06-02 06:07	None	['None']
afck-00069	“[South Africa] is in debt of more than R2.3 trillion.”	correct	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['South_Africa']
afck-00343	“Jobs are now being created again. There are now [in February 2014] 15-million people with jobs in the country, the highest ever in our history, and over 650,000 jobs were created last year, according to Stats SA.”	misleading	https://africacheck.org/reports/2014-sona-claims-revisited-zuma-on-the-economy/	None	None	None	None	None	2014 SONA claims revisited: Zuma on the economy	2015-02-11 04:31	None	['None']
afck-00054	“The Western Cape has the lowest unemployment rate of all provinces”	correct	https://africacheck.org/reports/verifying-key-claims-in-the-2018-state-of-the-nation-debate/	None	None	None	None	None	Verifying key claims in SA’s 2018 State of the Nation address debate	2018-02-19 02:56	None	['None']
afck-00186	The two men dressed in blue uniforms stationed inside the doors of the national assembly “must leave the house. They don’t belong here.”	incorrect	https://africacheck.org/reports/eff-correct-military-officers-sa-parliaments-door-dont-belong/	None	None	None	None	None	Ceremonial guards & criminal records: Checking EFF claims about SA parly	2017-02-10 06:59	None	['None']
afck-00274	“The Americans named a mini-planet after [Siyabulela Xuza] because of his achievements.”	correct	https://africacheck.org/reports/checked-sa-president-zumas-youth-day-claims/	None	None	None	None	None	SA President’s Youth Day claims examined	2015-06-17 10:35	None	['None']
afck-00008	“Over 40% of primary school teachers are unqualified”	incorrect	https://africacheck.org/reports/number-of-qualified-primary-school-teachers-and-grade-6-literacy-in-nigeria-higher-than-claimed/	None	None	None	None	None	Number of qualified primary school teachers and grade 6 literacy in Nigeria higher than claimed	2018-09-17 12:00	None	['None']
afck-00124	“Our holiday tourist arrivals have declined five years in a row from 1.1 million visitors a year in 2012 to 930,000 visitors in 2016.”	mostly-correct	https://africacheck.org/reports/checked-5-claims-kenya-nasa-opposition-manifesto/	None	None	None	None	None	Fact-checked: 5 claims in Kenya Nasa opposition manifesto	2017-07-07 06:32	None	['None']
afck-00304	“Up to 40% of South African women will be raped in their lifetime according to the South African Institute of Race Relations, but estimates vary widely due to underreporting.”	incorrect	https://africacheck.org/reports/british-paper-mangles-sa-rape-statistics/	None	None	None	None	None	British paper mangles SA rape statistics	2015-05-28 03:00	None	['South_Africa']
afck-00324	“Your own government in 2013 reported that ‘the number of children affected [by child labour] still remains… at an estimated 821,000’.”	unproven	https://africacheck.org/reports/julius-malemas-sona-2015-debate-speech-fact-checked/	None	None	None	None	None	Julius Malema’s SONA 2015 debate speech fact-checked	2015-02-25 01:19	None	['None']
afck-00364	“In 2013, more than 11-million households have access to electricity.”	correct	https://africacheck.org/reports/does-the-anc-have-a-good-story-to-tell-we-examine-key-election-claims/	None	None	None	None	None	Does the ANC have a ‘good story to tell’? We examine key election claims	2014-04-25 05:00	None	['None']
