goop-02071	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	0	https://www.gossipcop.com/kendall-jenner-wedding-blake-griffin-marriage/	None	None	None	Shari Weiss	None	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	10:55 am, December 7, 2017	None	['Kendall_Jenner', 'Blake_Griffin']
snes-03472	Edward Snowden claimed that Russia fixed the 2016 general election so Donald Trump would win.	false	https://www.snopes.com/fact-check/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/	None	Junk News	None	Kim LaCapria	None	Edward Snowden Said Russia Successfully Rigged U.S. Elections In Favor Of Trump	27 November 2016	None	['Russia', 'Donald_Trump']
bove-00168	Gujarat Sees ‘Minimum Dalit Atrocities’, Claims Amit Shah: A FactCheck	none	https://www.boomlive.in/gujarat-sees-minimum-dalit-atrocities-claims-amit-shah-a-factcheck/	None	None	None	None	None	Gujarat Sees ‘Minimum Dalit Atrocities’, Claims Amit Shah: A FactCheck	Oct 05 2017 3:37 pm, Last Updated: Oct 05 2017 3:52 pm	None	['None']
tron-02922	After Hit-and-Run, Sarah Palin Emerges from Coma, Identifies Attackers	fiction!	https://www.truthorfiction.com/hit-run-sarah-palin-emerges-coma/	None	politics	None	None	['conspiracy theories', 'gop', 'sarah palin']	After Hit-and-Run, Sarah Palin Emerges from Coma, Identifies Attackers	May 1, 2017	None	['None']
snes-02442	Sargento cheese was recalled on 9 May 2017 (or in August/September 2017), because it might kill your whole family.	outdated	https://www.snopes.com/fact-check/sargento-recall-fake-news/	None	Junk News	None	Kim LaCapria	None	Was Sargento Brand Cheese Recalled in August or September 2017?	12 May 2017	None	['None']
pomt-11500	"Mass shootings went up 200 percent in the decade after the assault weapons ban expired."	mostly false	/florida/statements/2018/feb/23/ted-deutch/did-mass-shootings-increase-200-percent-assault-we/	Rep. Ted Deutch, D-Fla., claimed mass shootings increased substantially after an assault weapons ban expired in 2004. The Democratic lawmaker represents the Parkland, Fla., community, where on Valentine’s Day a 19-year-old man killed 17 people at Marjory Stoneman Douglas High School. Authorities say the gunman who’s been charged with 17 counts of premeditated murder used an AR-15 rifle. "Let's be clear, mass shootings went up 200 percent in the decade after the assault weapons ban expired," Deutch said during a Feb. 21 CNN town hall with survivors of the mass shooting. We’ve fact-checked several claims about gun control since the shooting and wondered if this one was true. At least one researcher found a significant increase in mass shootings since the assault weapons ban expired. But overall, experts caution against pegging an increase solely to the ban’s expiration, and told us Deutch’s claim is based on a flawed analysis. Background on assault weapons ban A federal law from 1994 to 2004 banned the manufacture of 19 military-style assault weapons, assault weapons with specific combat features, "copy-cat" models, and certain high-capacity ammunition magazines of more than 10 rounds. Congress did not renew the ban once it expired in September 2004. What happened next? Advocates on both sides of the gun debate often point to the same report assessing the ban published in 2004 for the U.S. Justice Department. One key takeaway: The report said it was premature to make a definitive conclusion about the ban’s impact. It said there had been mixed results in reducing criminal use of the banned guns and magazines. If the ban were to be renewed, it might reduce the number of gunshot victims, but the effect would likely be "small at best and possibly too small for reliable measurement," the report said. If the ban lapsed, the report said, it would be possible for new assault weapons to be used in mass murders. Experts dissect Deutch’s evidence Former President Bill Clinton made a similar point as Deutch in 2013 when he said, "Half of all mass killings in the United States have occurred since the assault weapons ban expired in 2005, half of all of them in the history of the country." The Washington Post Fact Checker awarded the claim Three Pinocchios. The fact-check found that Clinton was exaggerating research from Grant Duwe, director of research and evaluation at the Minnesota Department of Corrections. Why is that relevant? Deutch’s office cited commentary posted on The Century Foundation, a left-leaning think tank, as support for his statement about a 200 percent increase in mass shootings. The commentary criticizes the Fact Checker article for missing the big picture behind Clinton’s point. Part of the Century Foundation commentary said: "If we look from September 2004 all the way back to 1900 (104 years), as the Washington Post lays out, there were 118 mass shootings. That breaks down to 1.13 mass shooting incidents per year, on average, from 1900 to 2004. In the eight years since the assault weapons ban has expired, there have been 28 mass shooting events. That equals an average of 3.5 a year — an increase of over 200 percent." But several experts, including Duwe, pointed out flaws in that examination and consequently, in Deutch’s relay of that information. "This claim is, at best, very misleading for a few reasons," Duwe told PolitiFact Florida in an interview. For starters, to arrive at a 200 percent increase, the claim actually has to go back to 1900, and not the decade after the ban’s expiration that Deutch cited. "The assault weapons ban was only in effect from 1994 to 2004, and that is the relevant period to compare with the period after 2004 if one is making a claim about the impact of the assault weapons ban," said Gary Kleck, David J. Bordua emeritus professor of criminology and criminal justice at Florida State University. It’s also important to factor in population size changes, experts said. In an October piece for Politico, Duwe noted that "since the mid 2000s, the incidence of mass public shootings on a per capita basis has been a bit higher than it was in the preceding 10 years." But the rates over the past 10 years were not higher than in the late 1980s and early 1990s, Duwe said. "If you have more shootings after the ban but also have a larger population, then when the numerator and denominator are increasing, the outcome number stays the same," said Jaclyn Schildkraut, an expert on mass shootings research and an assistant professor of public justice at the State University of New York at Oswego. Nonetheless, mass public shootings have become deadlier over the last decade, as the number of victims shot and killed has increased since the expiration of the assault weapons ban, Duwe said. It’s also worth noting that there isn’t an universally accepted definition for mass shootings. Deutch’s office said their definition for mass shooting involved an individual with a firearm who targets four or more victims with intent to kill, not including the perpetrator. Duwe defined mass public shooting more narrowly as any incident in which four or more victims are killed with a gun within a 24-hour period at a public location in the absence of other criminal activity (robberies, drug deals, gang "turf wars"), military conflict or collective violence. Other supporting evidence Louis Klarevas, who teaches at the University of Massachusetts-Boston and has also written about mass shootings, told us his research generally supports Deutch's claim. Klarevas examined incidents before, during and after the assault weapons ban when six or more people were shot and killed. • 1984 to 1994: 19 incidents • 1994 to 2004 (ban is in effect): 12 incidents • 2004 to 2014: 34 incidents That shows a 183 percent increase of incidents in the decade after the ban, compared to the years during the ban. However, several experts also cautioned against concluding that an increase in mass shootings would be solely tied to the expiration of the assault weapons ban. A critical question in the assessment of the assault weapons ban would be how often assault weapons, however defined, were used in mass shootings, said Gregory Koger, a professor of political science at the University of Miami. "I do not expect the effect of a ban to be instantaneous, nor to end when the ban ends," Koger said. "If there are a certain number of assault weapons in circulation when the ban goes into effect and these weapons are removed from circulation over time (say, if they are destroyed, become ineffective, or are seized by the police), then the effect of a sales ban increases over time." If gun manufacturers find a way around the ban, its effects decrease over time, Koger said, adding that once a ban is lifted, "its effects may linger to the extent that it decreased the supply of assault weapons in circulation." Among other factors also worth considering is media coverage of mass shooters, which Adam Lankford, a criminology professor at the University of Alabama, said rewards perpetrators with fame and can lead to copycat effects. "Although firearms availability is the primary reason why the United States has more public mass shooters than other countries, media coverage of perpetrators may largely explain why the United States has seen more public mass shooters and deadlier incidents over time," Lankford said. Our ruling Deutch said, "Mass shootings went up 200 percent in the decade after the assault weapons ban expired." Researchers of mass shootings told us the analysis Deutch relied on is flawed because it did not adjust for population changes and used irrelevant data points for comparison. Trends in the incidence and severity of mass public shootings on a per capita basis also show that the rate per 100 million is similar now to that of the 1980s and early 1990s, an expert told us. A separate analysis found an 183 percent increase in mass shootings where six or more people were killed in the decade after the ban, compared with the 10-year ban period. But experts caution against inferring that an increase is due only to the ban’s expiration. Deutch’s claim contains an element of truth but ignores critical facts that would give a different impression. We rate it Mostly False. See Figure 1 on PolitiFact.com	None	Ted Deutch	None	None	None	2018-02-23T13:59:49	2018-02-21	['None']
pose-00375	"Will provide new research grants to the most outstanding early-career researchers in the country."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/394/provide-grants-to-early-career-researchers/	None	obameter	Barack Obama	None	None	Provide grants to early-career researchers	2010-01-07T13:26:57	None	['None']
snes-04022	A Certified Registration of Birth issued in Kenya documents that Barack Obama was born in that country.	false	https://www.snopes.com/fact-check/kenyan-mistake/	None	Politicians	None	David Mikkelson	None	Obama’s Kenyan Certified Registration of Birth	7 August 2009	None	['Kenya', 'Barack_Obama']
hoer-00153	Simon Ashton Email Hacker	bogus warning	https://www.hoax-slayer.com/simon25-hacker-hoax.shtml	None	None	None	Brett M. Christensen	None	Simon Ashton Email Hacker Hoax	March 2009	None	['None']
pomt-01235	"4.7 million people have lost their insurance in 32 states" due to Obamacare.	mostly false	/punditfact/statements/2014/nov/18/dana-loesch/conservative-talker-loesch-says-47-million-people-/	Conservative talk show host Dana Loesch gamely agreed to debate Obamacare last week with liberal pundit Ed Schultz on Schultz’s program on MSNBC. Unfortunately, what emerged was the verbal equivalent of mixed martial arts as one would interrupt the other, and the preferred rhetorical device seemed to be talking louder and louder. (We also checked Schultz's claim about 10.3 million people benefiting from Obamacare.) In the course of the melee, Loesch delivered a salient criticism about the Affordable Care Act. "4.7 million people have lost their insurance in 32 states," Loesch said. We reached out to Loesch to find the source of that claim and did not hear back. However, it matches a list compiled by the Associated Press in December 2013. It represents a tally from AP staffers and calculates a low-end figure of how many Americans received insurance cancellation notifications. (Not every state was able to provide a figure, hence Loesch isolating on 32 states.) You likely remember stories about the cancellation notices, which were the result of individual insurance plans not meeting the minimum standards of the new health care law. PolitiFact’s 2013 Lie of the Year was a claim by President Barack Obama that "If you like your health care plan, you can keep it." Since that chaotic time, however, some clearer data has emerged. While the AP said that millions of people had received cancellation letters, there are reasons to doubt the numbers in certain states. For example, the list said 333,000 notices went out to Blue Cross/Blue Shield customers in Florida. But as reported by PolitiFact Florida, a company spokesman said it mailed only 44,000 cancellations letters. The AP said 290,000 cancellations letters were sent in Washington state. A few weeks later, the state’s insurance commissioner called that "inaccurate." Analysts at the Urban Institute explored the discrepancies in a survey conducted the same month as the AP published its list. When they asked people with individual insurance, they found that about 20 percent said the plan they had in 2013 would no longer be offered. Based on this survey, the analysts estimated that about 2.6 million people had lost their existing plans due to the minimum standards set by Obamacare. But the institute analysts also noted that a great deal of churning always takes place in the individual market. They found that less than 20 percent of the customers ever kept a plan for more than two years. This fits with the experience of another health care researcher, Christine Eibner with the RAND Corporation. "It appears that the number of people that lost coverage from 2013 to 2014 is similar or less than the number of people who lost coverage in previous years," Eibner told PunditFact. So, while the Affordable Care Act’s standards played a role, some people would have changed, dropped or altered coverage anyway. Moreover, the AP figure fails to factor in that due to the outcry in November 2013, Obama gave states the option to allow people to keep their existing plans, if insurers agreed. In Florida, the 44,000 people who did get a cancellation letter later received a second one that said they could keep those policies for another year, if they wanted. In fact, the key problem with Loesch’s statement is that she said these people "have lost their insurance," as if none of them replaced one plan with another. A study published by RAND in April 2014 painted a very different picture. Of an estimated 9.4 million people with individual insurance, fewer than 1 million ended up without any coverage at all. Over half of the original group bought another policy in the individual market. About 2 million took coverage offered through an employer, and a bit under a million found a plan through one of the government’s online insurance marketplaces. Finally, we should note that while some people have lost insurance since most of the main elements of Obamacare took effect, the net impact has been a boost in the ranks of the insured. An estimated 10.3 million more people have insurance today than did right before October 2013. Our ruling Loesch said that 4.7 million people have lost their health insurance due to Obamacare. That number matches one cited by the Associated Press based on preliminary estimates and incomplete data. The best estimate from independent researchers is that perhaps 2.6 million people received notices that their health care insurance policies were being canceled. However, Loesch spoke as if these people, whatever their number, did not find replacement coverage. In reality, fewer than 1 million people who had been part of the individual insurance market ended up with no coverage at all. Given the constant churn in that market, it is unlikely that the Affordable Care Act caused all of them to be without health insurance. Loesch’s number is off, both in terms of the cancellations and what people did afterward. Still, the new law did hurt some people. We rate the claim Mostly False.	None	Dana Loesch	None	None	None	2014-11-18T13:58:49	2014-11-13	['None']
pomt-04751	Claims Ohio Gov. John Kasich says climate change is a problem.	true	/ohio/statements/2012/aug/29/florida-wildlife-federation/convention-billboard-touts-john-kasichs-view-clima/	Republican devotees who have traveled to Tampa, Fla. for their party’s national convention expect a week filled with activities aimed at unifying the GOP around the central policy and agenda messages as they nominate former Massachusetts Gov. Mitt Romney for president. But as thousands of out-of-towners arrived and made their trek to the Tampa Bay Times Forum, the arena hosting the convention, they have been greeted by some well-placed advertisements featuring some prominent conservative leaders -- including Ohio Gov. John Kasich -- that are not quite in lock-step with the message Republicans have long touted. Kasich is prominently featured on a billboard outside the arena and on one at the most central interstate highway crossing in the city, as well as, on some placards adorning 40 city taxi cabs proclaiming his belief that global warming is real. "I am a believer – my goodness I am a Republican – I happen to believe there is a problem with climate change," reads a quote attributed to Kasich that appears next to a picture of the smiling Ohio governor. But wait, Kasich is still as staunch a conservative as ever, isn’t he? PolitiFact Ohio decided to check if the ad accurately reflects the governor’s position. The billboard was sponsored by the Florida Wildlife Federation, a private membership group with about 60,000 members who are hunters, fishermen and outdoorsmen with a keen interest in environmental issues. It told PolitiFact Ohio it partnered with the Evangelical Environmental Network, a Washington lobbying group, to place the advertisements. The Federation’s policy consultant, Jay Liles, said his group is desperate to get politicians to view climate change as a life-changing issue and not a partisan issue. They have skin in this game. And there it is true that some Republicans have staked out a position doubting that climate change is really a factor. In addition to Kasich, the federation also has sponsored similar ads with similar messages from similarly conservative leaders, such as, New Jersey Gov. Chris Christie, former New York City Mayor Rudy Giuliani and former President George W. Bush. We checked with Kasich’s staff to see whether the quote was accurate. Rob Nichols, the governor’s spokesman, confirmed that it was taken from a speech Kasich made in May 2012 at a small energy conference in Columbus, Ohio, that was sponsored by The Hill, a Capitol Hill media organization. "What they have on the billboard is accurate," Nichols said, adding that Kasich has uttered similar comments four or five times during various private speeches, some of which were before Republican gatherings. But for context, Nichols said there is a little more to Kasich thoughts on global warming. "He has said this several times but what is usually omitted is what is on the back-end of what he has said," Nichols said. "Each time he says it he has added, ‘How big is this? I don’t know. Should we overreact to this? No.’" In fact, The Hill published an article on May 2, 2012, about Kasich’s speech at the energy conference. The quote on the billboard came from that story, according to the Evangelical Environmental Network. The full quote is: "I am a believer – my goodness I am a Republican – I happen to believe there is a problem with climate change. I don’t want to overreact to it, I can’t measure it all, but I respect the creation that the Lord has given us and I want to make sure we protect it." Liles said the Federation was approached by the evangelical group and agreed to sponsor the Tampa advertisements to convince Republicans to stop viewing global warming through political lenses. "We believe at the core that people don’t treat our environment as a right or left issue, it is an issue that affects all of us. It is an issue that affects our pocketbooks," Liles said. "Whether it is addressed more through market driven means or through proposed regulatory means," he said, "we believe somewhere in the middle is a road forward and they need to stop making this a partisan issue." Alexei Laushkin, of the Evangelical Environmental Network, which paid for the advertisements said his group intentionally sought out key conservative leaders to push this agenda. "We in the evangelical community are tired of the politics of the issue and wanted to highlight conservatives who agree with us on this issue," Laushkin. For the most part, Republicans have doused talk of global warming saying Democrats are pushing it to enforce more government regulations on the energy industry. The Hill article notes that the Environmental Protection Agency has already begun to try to regulate greenhouse gas emissions and proposed carbon dioxide standards for new power plants to help mitigate the suspected effects of global warming. And that many scientists have long concluded climate change is real. But some Republicans have challenged the proposed EPA standards and questioned scientists conclusions. "We’re hoping at the end of the day it will be a bi-partisan issue, one party can’t solve the issue so we want to highlight conservative leadership on this," said Laushkin. Laushkin said he suspects that many Republican delegates who see the signs at the convention will be surprised. But as far as the quote from Kasich, his own staff confirms its accuracy. As long as Kasich’s comments aren’t used as a scare tactic to get others to believe in climate change then the governor is OK with how he is being portrayed, Nichols said. And that’s how the billboards convey the message. No scare tactics. Just Kasich saying he agrees climate change is a problem. On the Truth-O-Meter, the Florida Wildlife Federation’s claim rates True.	None	Florida Wildlife Federation	None	None	None	2012-08-29T06:00:00	2012-08-28	['John_Kasich', 'Ohio']
pomt-03500	"My judicial nominees have waited three times longer to receive confirmation votes than those of my Republican predecessor."	half-true	/truth-o-meter/statements/2013/jun/07/barack-obama/barack-obama-says-his-judicial-nominees-have-faced/	In the Rose Garden on June 4, 2013, President Barack Obama announced three nominees to the U.S. Court of Appeals for the D.C. Circuit. In unveiling the nominees, Obama criticized Senate Republicans, accusing them of consistently obstructing his court picks. While Obama acknowledged that Democrats "weren’t completely blameless when I was in the Senate," he added that today’s Republican opposition to his judicial picks "is unprecedented." "Time and again, congressional Republicans cynically used Senate rules and procedures to delay and even block qualified nominees from coming to a full vote," Obama said. "As a result, my judicial nominees have waited three times longer to receive confirmation votes than those of my Republican predecessor … This is not about principled opposition. This is about political obstruction." Is Obama really correct that his judicial nominees "have waited three times longer" than those nominated by President George W. Bush? The answer hinges on how you define the phrase "to receive confirmation votes." First, a civics reminder. The president is responsible for nominating judges, and the Senate is responsible for confirming them. Once a nomination is made, it goes to the Senate Judiciary Committee. Once it clears the committee, it goes to the Senate floor. By the book, the final confirmation vote only requires a majority, but in recent years, senators have increasingly threatened to filibuster -- that is, block -- judicial picks. This forces the Senate to first vote on ending the filibuster threat, a vote that requires 60 votes, not 51. The fact that there’s a two-step process -- first moving from nomination to committee, and then from committee to a confirmation vote -- has led to contradictory trends on nominee delays. Bush’s nominees tended to get delayed before winning committee approval, while Obama’s have more often been delayed on the floor. The Congressional Research Service, a nonpartisan arm of Congress, published a thorough analysis of judicial nomination delays on May 2, 2013. Here are some of the highlights. From nomination to confirmation Measured one way -- from nomination to confirmation -- Obama’s claim is off base. According to CRS, the average number of days from nomination to confirmation for first-term circuit court nominees -- which include the D.C. Circuit -- was 240.2 for Obama. That was shorter than the 277 days faced by the nominees of George W. Bush. (Obama’s waits were, however, longer than for presidents George H.W. Bush, Reagan and Clinton.) Using the median wait, rather than the average wait, Obama’s nominees did face slightly longer delays than Bush’s did -- 225.5 days for Obama compared to 216 days for Bush. But even that was nowhere near the three-times-longer figure Obama cited. Obama was on safer ground regarding nominees to district courts, which are the trial courts one level below circuit courts. Obama nominees waited an average of 221.8 days, which was 42 percent longer than Bush’s nominees waited. Still, this isn’t three times as long. (Using the median showed essentially the same pattern.) From committee approval to confirmation Where Obama has a point is if you measure the time from the point of committee approval to confirmation -- in other words, the period when the nomination is on the Senate floor, where it can be filibustered. For an Obama circuit court nominee, the average wait from committee approval to confirmation was 138.5 days -- almost four times the duration under George W. Bush, which was 35.3 days. The median waits were similarly divergent: Obama’s nominees waited 131.5 days, compared to 18 days for nominees of George W. Bush. (Just to show how slow the process has become, George H.W. Bush's nominees waited just 7.8 days.) The same pattern held for district court nominees. For Obama, the average number of days was 98.5, compared to 34.9 days for George W. Bush -- about three times as long. The median figures were similar as well -- 91 days for Obama, 18 days for Bush. A White House spokesman, Eric Schultz, confirmed that Obama was talking about time spent on the floor after committee approval, and he argued that this is the fairest measurement. Schultz argued that it’s only fair to start measuring once all the preliminary requirements are done, including the paperwork, the rating process by the American Bar Association, the scheduling of hearings, the submission of senators’ written questions. Each of these steps, he said, could easily produce delays for logistical reasons rather than political opposition. We asked three academic experts on judicial nominations whether they agreed with Schultz’s preference for the committee-to-confirmation measurement, but we failed to secure a consensus. Paul Finkelman, a law professor at Albany Law School, said he thought the White House’s favored measurement was better, but Richard Painter, a law professor at the University of Minnesota who worked in the White House counsel’s office under George W. Bush, argued that measuring the full time period was preferable because committee tactics can "include secret holds, delayed hearings, delayed votes and more." And Carl Tobias, a law professor at the University of Richmond, said that while he thinks the White House’s argument is reasonable, Obama should have been specific about the measurement he was using in his remarks -- something he could have done easily by saying, "My judicial nominees have waited three times longer on the floor to receive confirmation votes than those of my Republican predecessor." Meanwhile, Sheldon Goldman, a political scientist at the University of Massachusetts at Amherst, created an "index of obstruction and delay" in a paper published a decade ago in Judicature Journal. His aim was to come up with a single number that measured both obstruction (that is, unsuccessful nominations) and delay (taking longer than 180 days from nomination to confirmation). Goldman has found that the index for Obama’s circuit court nominations was 0.9524, the highest he’s ever recorded. In a comparable period -- 2003 to 2004, when Bush was president and the GOP controlled the Senate -- the index was significantly lower, 0.6176. Still, Goldman told PolitiFact that his index "does not address the three-times-as-many claim" that we are checking here. Our ruling Obama said his judicial nominees "have waited three times longer to receive confirmation votes than those of my Republican predecessor." That’s true if you count from committee approval to confirmation, but not if you count the full period from nomination to confirmation. As it turns out, the average wait for George W. Bush’s circuit court nominees was actually longer from nomination to confirmation. Because Obama didn’t specify the measurement he was using -- and because an alternative number exists that runs counter to his claim -- Obama has essentially cherry-picked a figure that puts his situation in the most sympathetic light. On balance, we rate his claim Half True.	None	Barack Obama	None	None	None	2013-06-07T10:08:42	2013-06-04	['Republican_Party_(United_States)']
goop-00039	Keith Urban On Botox Binge?	2	https://www.gossipcop.com/keith-urban-botox-plastic-surgery-binge/	None	None	None	Gossip Cop Staff	None	Keith Urban On Botox Binge?	1:39 pm, November 4, 2018	None	['None']
pomt-03448	"In the past four years, (the U.S. Senate) has only passed nine out of 48 appropriation bills."	mostly true	/georgia/statements/2013/jun/21/jack-kingston/senate-record-appropriations-draws-kingstons-scrut/	The race for the U.S. Senate seat being vacated by the retiring Saxby Chambliss is in full swing -- at least on the GOP side, where at least four major hopefuls have announced for the seat. One of the contenders made a point of denouncing the work -- or lack of work -- carried out by the current Senate over the past few years. In a speech announcing his run for the Senate last month, U.S. Rep. Jack Kingston of Savannah said: "The United States Senate has not passed a credible budget in four years. In the past four years, it has only passed nine out of 48 appropriation bills." "It has killed any attempts to rein in entitlements, reform out-of-control spending or reduce government interference in our lives," he continued. "If we are going to turn America around, we have to start with the United States Senate." Our fact-checkers have examined some aspects of this argument before. Last year, PolitiFact Tennessee found that the Senate had not passed a budget in three years. And PolitiFact Georgia recently found that with the exception of a few very, very short meetings, Congress had spent 66 of the first 100 days of the current session in recess. So now, has the U.S. Senate really passed little more than one-fifth of the appropriations bills that have come before it, as Kingston claims? We decided to track down the numbers and check out the claim. Kingston spokesman Chris Crawford responded to our inquiry in an email. The congressman’s statement was about "regular order appropriations measures" that should have passed for fiscal years 2010-2013, he said. The claim was based on figures from the Status of Appropriations Legislation charts for 2010-2013 maintained by the Library of Congress. There are 12 regular annual appropriations, or spending, bills that provide funding for federal departments and agencies. When those bills are passed individually, through the traditional committee process, they are considered to have gone through the "regular order." The 12 appropriations bills are included in the annual budget resolution. According to Kingston’s count, the nine bills that were passed were in fiscal year 2010, Crawford said. The nine appropriations bills were for: agriculture, commerce-justice-science, defense, energy and water, homeland security, interior and environment, the legislative branch, military construction-veterans affairs, and transportation-housing and urban development. We also checked the Library of Congress charts and found that Kingston’s count was accurate for the past four fiscal years. And in fiscal 2010, while the Senate passed nine spending bills, it did not pass regular order spending bills for financial services, labor/health and human services/education and the State Department and foreign operations. When lawmakers in the Senate and House chambers -- or even within the same chamber -- can’t agree on the individual spending bills in time for the new federal fiscal year on Oct. 1, the bills can sometimes be lumped together in "omnibus" bills. In December 2011, the Senate passed an omnibus spending bill of almost $1 trillion that combined nine of the 12 appropriations bills. Before that, the federal government had operated throughout 2011 on a continuing resolution that maintained policies and program levels set in the fiscal 2010 appropriations bills. For fiscal 2013, the Senate passed another continuing resolution at the end of March, almost six months after deadline, to keep the government running. President Barack Obama signed the stopgap plan into law a week later. So what does this mean? Has the Senate been derelict in its duties? The Senate hasn't been passing individual spending bills, "but I see this largely as a reflection of the majority's (Democrats) inability to secure the necessary 60 votes for passage given GOP opposition and willingness to filibuster the bills," said Sarah Binder, a senior fellow at the Brookings Institution and a political science professor at George Washington University. For Kingston’s argument, from a very far bird’s-eye view of the Senate, this is an institution that is having a hard time functioning under its rules during these times of political polarization, Binder said. Kingston is right to say the Senate is having a hard time, she said. But before criticizing this Senate too much, Binder said, we need to remember that this has happened before. In the 1980s, for example, the House and Senate passed none of the 12 spending bills individually but put them all into omnibus bills, she said. "Ultimately there are no innocent parties here," Binder said. To sum up, Georgia Congressman Jack Kingston said the U.S. Senate has only passed nine out of 48 appropriation bills in the past four years. Data from the Library of Congress, which tracks bill histories, show that his statement is correct. But digging a bit deeper into his claim -- and into history -- shows that this congressional stalemate that lingers over federal spending is not new. Also, while the Senate may not have passed its portion of bills, there are lawmakers on both sides of the aisle who have prevented real progress on solutions to reduce the national debt and grow the economy. Kingston’s statement is accurate but needs more information. We rated it Mostly True.	None	Jack Kingston	None	None	None	2013-06-21T00:00:00	2013-05-02	['None']
