snes-00238	A photograph shows a woman buried up to her neck jsut before being stoned to death in Iran.	miscaptioned	https://www.snopes.com/fact-check/buried-woman-stoned-photo/	None	Fauxtography	None	David Mikkelson	None	Does This Photograph Show a Woman About to Be Stoned to Death in Iran?	9 August 2018	None	['Iran']
vees-00066	Asked about the 6.4 percent inflation rate in August, Panelo on Sept. 7 told CNN Philippines’ Cherie Mercado the figure is wrong and partly blamed the media. He said:	none	http://verafiles.org/articles/vera-files-fact-check-panelo-mixes-inflation-figures	Panelo confused the year-on-year inflation rate which indeed surged 6.4 percent in August, with the 4.8 percent year-to-date inflation rate.	None	None	None	Panelo,inflation	VERA FILES FACT CHECK: Panelo mixes up inflation figures	September 09, 2018	None	['None']
snes-01322	Did Mia Khalifa 'Expose' Ajit Pai After He 'Slid Into Her DMs'?	false	https://www.snopes.com/fact-check/mia-khalifa-fcc-commissioner-dms/	None	Risqué Business	None	Dan Evon	None	Did Mia Khalifa ‘Expose’ Ajit Pai After He ‘Slid Into Her DMs’?	18 December 2017	None	['None']
pomt-10791	"She stood by our National Guard and Reserve and kept standing till they received health care they deserved."	mostly true	/truth-o-meter/statements/2007/oct/11/hillary-clinton/there-were-22-other-co-sponsors-/	A new TV ad airing in Iowa and New Hampshire says that Hillary Clinton "stood by our National Guard and Reserve and kept standing till they received health care they deserved." The record indicates that Clinton has been an advocate for expanded health benefits for National Guard and Reserve members. In 2005, she was one of 23 co-sponsors for legislation sponsored by Republican Sen. Lindsey Graham of South Carolina that would allow reserve troops to enroll in Tricare, a Defense Department managed health care program. (Statements on Clinton's Web site don't mention that she was one of many co-sponsors.) The legislation didn't pass, but much of its substance was adopted in the 2007 defense authorization bill. The tone of her ad suggests she was a key player in the passage of the bill, but the record indicates that Graham took the lead in the effort, and she was one of several supporters. So while it's fair for her to say she was an advocate for expanded benefits for Guard and Reserve members, the statement would be more accurate if it indicated she was one of many.	None	Hillary Clinton	None	None	None	2007-10-11T00:00:00	2007-10-04	['National_Guard_of_the_United_States']
pomt-05633	"And the revenue generated by drilling off Virginia’s coast? $40 million over 10 years."	mostly false	/virginia/statements/2012/mar/23/jim-moran/moran-says-dilling-virginias-coast-will-net-4-mill/	U.S. Rep. Jim Moran, D-8th, recently spoke on the U.S. House floor against drilling off the shores of Virginia, saying the small amount of government money it would produce is not worth the environmental risk. "And the revenue generated by drilling off Virginia’s coast? $40 million over 10 years," he said on Feb. 15. We wondered about Moran’s seemingly low estimate for revenues, recalling predictions made by many drilling advocates -- including Gov. Bob McDonnell -- that Virginia’s government stands to gain at least $250 million a year. So we looked into the congressman’s claim. Moran was railing against H.R. 3408, which would authorize drilling federally owned oil shale and calls for leases in several coastal regions, including Virginia. Many state officials, including McDonnell and Democratic Senators Mark Warner and Jim Webb, support offshore drilling, saying it could provide needed jobs, energy and money for the state. Virginia was included in the federal government’s offshore drilling plan last decade. But President Barack Obama rescinded that in 2010, canceling the sale of leases of 4 million acres off Virginia’s coast after the Deepwater Horizon disaster in the Gulf of Mexico. A bill that would have allowed drilling 50 miles or more off Virginia’s coast died in the House of Representatives last May. Moran’s office, to back the congressman’s claim, used the Congressional Budget Office cost estimate for that bill in arguing against H.R. 3408. The CBO report does say that the federal government will collect only $40 million over the next 10 years. But the analysis, ordered by the House Committee on Natural Resources, is confined to a tiny portion of the government revenue that drilling could generate. Should the Virginia coastal waters be opened for drilling, oil companies would submit bids to the Interior Department for leasing space on the ocean floor and upfront bonus payments they would make to the government for the right to test and drill. The CBO’s $40 million figure is merely an estimate of the bonus payments that would come from drilling off Virginia’s coast, according to Spencer Pedersen, a spokesman for the House Interior Committee. The CBO has not projected other government revenues the venture would produce. The big money, however, would start once oil production began, likely toward the end of the decade. Companies would pay royalties to the federal government that are expected to generate tens of millions of dollars annually during the early years of drilling, and many hundreds of millions of dollars down the road. Energy companies pay the federal government an 18.75 percent royalty on offshore oil and natural gas production. Typically, royalty payments represent about 90 percent of federal revenue from leasing activity on public lands. Virginia officials are hoping for a 37.5 percent cut from all of the offshore drilling payments to the federal government--bonus bids, lease payments and royalties. The federal government shares 37.5 percent with Gulf Coast states. A number of steps must occur, however, before money, oil or natural gas starts flowing. Congress must approve legislation, such as H.R. 3408, that would include the ocean floor off Virginia in a leasing plan, and the president must sign it. Obama, during his State of the Union address early this year, called for increased U.S. oil production and endorsed new lease sales in the Gulf of Mexico and off Alaska’s northern coast. But the president has not indicated whether he’s willing to lift his 2010 moratorium on Atlantic Coast drilling. Should the Virginia coast become part of the plan, the CBO report says the lease sale would not likely occur until 2015. Next, the winning companies would need to map the ocean floor and explore the resources with a few test bores. If the tests were successful, the companies would request a permit from the federal government to build an oil rig. All those steps take time; experts, including a consultant for the American Petroleum Institute, said drilling wouldn’t start until at least 2018 or 2019. There are wide-ranging estimates of the potential government revenues from drilling off Virginia’s coast. We tried to come up with our own number using middle-of-the-road projections for the cost of energy and the amount of offshore resources. The Energy Information Administration’s projection for inflation-adjusted price of a barrel of oil through 2035 is $137.02. Natural gas for the same period is expected to have an average cost of $6.53 per thousand cubic feet. The Bureau of Ocean Energy Management estimated in 2011 that the seabed in the Atlantic Ocean caps 3.3 billion barrels of oil and 31.28 trillion cubic feet of natural gas. The Virginia coast comprises about 10 percent of the Atlantic shore, so if the resources and revenue are distributed proportionally, and we assume a 37.5 percent share to the states, the federal government would receive average $410.3 million annually and pay Virginia a $153.8 million cut. The governor’s estimates of annual state revenue of about $250 million uses energy industry estimates based on the upper end of oil and natural gas resource projections. But both estimates are an average annual amount over 30 years of production; it would take more than a decade for production to ramp up, according to the API consultant. In the early years of drilling, the state should expect to realize less than a fifth of the revenues that would come in when oil rigs hit full production. There’s one more big if: The 2011 estimates of the quantity of oil and natural gas in the region are based on surveys that are 40 to 50 years old. There’s really no way to know how much is under the shelf until exploration is done. Our ruling Moran, opposing legislation that would open Virginia’s coast to drilling for oil and natural gas, said the venture would generate only $40 million in government revenue over the next 10 years. The Democrat based his claim on a CBO report but misinterpreted what it said. The $40 million figure refers to a minor source of the revenue Virginia and Washington would share: upfront bonus payments energy companies would give the federal government for the right to test and drill. Beyond the $40 million, the companies would pay to lease space on the ocean floor. But more importantly, Moran omits that the companies would pay royalties on the offshore oil and gas they produced, which make up about 90 of the revenues for federal and state governments. In the early years of drilling, which could begin in 2018 or 2019, the royalties could produce tens of millions. Down the road -- beyond the 10-year period Moran addressed -- the royalties could translate into many hundreds of millions annually. Nothing is certain about drilling off Virginia’s coast, but Moran misused a very limited projection to create a misleading characterization of the venture’s potential. We rate his statement Mostly False.	None	Jim Moran	None	None	None	2012-03-23T11:53:30	2012-02-15	['None']
pomt-03766	"The average student in Florida, what they actually pay out of pocket at our major universities" for tuition is as much or less than what they spend on cellphones.	mostly true	/florida/statements/2013/apr/03/will-weatherford/will-weatherford-compares-tuition-costs-cellphone-/	Let’s talk tuition. College tuition increases are a no-go with Gov. Rick Scott, who wants to keep the cost of living low for families. House Speaker Will Weatherford, on the other hand, thinks Florida students are getting a great deal and can afford to pay a little more. Weatherford explained his views at a meeting of the Florida Board of Governors, which oversees state universities, on March 28, 2013. The board’s student member, Cortez Whatley, asked Weatherford why the House recommended a 6 percent tuition increase for state universities. Florida’s tuition is "48th" lowest in the country, Weatherford said. (Quick fact-check: It ranks 41st in 2013. Weatherford has since corrected himself.) "Let me put in perspective something for you that no one’s talking about that should be talked about in this debate," he said. "The average student in Florida, what they actually pay out of pocket at our major universities, I believe all universities, is about the same amount of money as they spend on this." He held up his iPhone. "We’re more than willing to negotiate with our friends in the Senate and the governor, but we think to just take tuition off the table and ignore the fact that we’re ranked so low, and ignore the fact that our students are spending more on cellphones to some extent than they are on tuition, is not right," he said. Students spend as much on tuition as their cellphone? We thought it didn’t sound right. We admit to being a little surprised by what we found. Tuition in Florida Florida’s average price for undergraduate tuition and fees at a public university is $6,069 in 2012-13, according to the Board of Governors. That’s up from an average of $5,531 in 2011-12. Tuition used to be even lower but public universities have been bumping up tuition to offset steep budget cuts. As a result, the price tag for tuition at a four-year public university in Florida jumped 67 percent over the past five years. Florida’s five-year percentage leap for tuition was one of the highest in the country, according to the College Board’s 2012 Trends in College Pricing report. Still, most in-state students don’t pay full price. Many receive scholarships, grants and other financial aid. Once you factor in "gift aid" such as Bright Futures and Pell grants, a student’s out-of-pocket expenses for tuition and fees comes down. Weatherford’s spokesman and the Board of Governors sent us system-wide averages for gift aid versus what students actually paid in tuition and fees for 2011-12. This is for an in-state undergraduate student taking 15 credit hours of courses each fall and spring semester. So the average financial gift amount per full-time, in-state undergraduate student for the school year is $4,646. The average amount of what a student actually paid out-of-pocket for tuition and fees is about $400. The out-of-pocket expense varies widely by family income. Students whose families earn below $60,000 -- and comprise about 44 percent of the university system -- don’t pay out-of-pocket for tuition on average because they receive more gift aid based on need. Many of the students in this income bracket are paying for college independently of their parents, said College Board policy analyst Kathleen Payea. Students whose families earn more receive fewer dollars in gift assistance and pay between $1,500 and $2,000. The amount a student shells out for tuition and fees also varies at each state university. The average student at Florida A&M and Florida Atlantic University, for example, does not pay out-of-pocket for tuition and fees, according to data from the Board of Governors. On the other end of the spectrum, a student at the University of Central Florida pays an average of $1,600. At the University of Florida, the average is $248. You might be wondering, that’s it? Keep in mind this analysis excludes other types of financial aid, such as loans, that students must pay back, as well as money their parents paid in through the Florida Prepaid college savings program. It’s worth noting the average student faces thousands more in expenses that go to the total cost of attending a university -- books, transportation, room and board. At the University of South Florida in Tampa, for example, the average 2012-13 cost of attendance for a full-time, in-state student not living with his or her parents was $20,390. For in-state commuter students, it’s about $16,000. Still, Weatherford was careful to specify tuition. Payea said Weatherford’s comparison about cellphone bills and tuition is awkward, as paying for higher education is a long-term investment unlike a monthly discretionary item like a phone. Still, his example may help defray fears about college costs. "Sticker prices appear to be high, but there are so many subsidies," she said. We’ll note that the state changed Bright Futures eligibility requirements, primarily higher test scores, to make the scholarships harder to get. A University of South Florida analysis determined the changes will most likely reduce the number of black and Hispanic freshmen getting the scholarship, according to the Tampa Bay Times. The price of cellphones Now we turn to the second part of our analysis: the cost of cellphones. About 86 percent of U.S. residents said they have one, according to the Pew Research Center. Weatherford spokesman Ryan Duffy directed us to a September 2012 Wall Street Journal story in support of his claim. If Weatherford’s point is cellphones are affordable (like two semesters of in-state tuition), the story’s headline does not reinforce it: "Cellphones are eating the family budget." The story describes how the increasing costs of cellphones force families to scrimp elsewhere. Costs are going up even more in the next few years as wireless providers figure out how to make data even faster and more accessible on new networks. The story cites Labor Department data showing annual household spending on phone services (not isolated to just cellphones) was $1,226 in 2011, up from $1,110 in 2007. An estimate from J.D. Power and Associates puts it even higher for this year, showing the average wireless bill reported by consumers to be $111 as of March 2013 (or $1,332 for the year). Those annual bill totals are more than the system-wide average for out-of-pocket costs for tuition and fees (again, about $400). If you isolate cash-paying students, the total tuition bill actually exceeds a year’s worth of cellphone bills, but not dramatically so. Our ruling Weatherford defended his call for a tuition hike before the leaders of the state university system by saying students spend more on cellphones than "what they actually pay out of pocket at our major universities" for tuition. We found his point is accurate if you compare the average out-of-pocket cost for all schools against the average cellphone bill, but there are caveats. Remember, he’s just talking about tuition, not the many other costs involved with a student’s degree. For the cash-paying families that comprise a majority of the system, the comparison is a little off, with students paying more for tuition than the average cellphone. Others spend a lot less on tuition, or a lot more, depending on their university. More than one-third of Florida’s public university students receive enough merit- and need-based financial aid that they do not pay anything for tuition and fees. Weatherford’s claim is accurate but needs clarification. We rate it Mostly True.	None	Will Weatherford	None	None	None	2013-04-03T10:28:59	2013-03-28	['None']
snes-03131	A video shows bystanders at Walmart doing nothing to intervene when a man experiencing a seizure is robbed of his wallet.	mixture	https://www.snopes.com/fact-check/walmart-seizure-robbery/	None	Viral Phenomena	None	Bethania Palma	None	Bystanders Do Nothing While Man Undergoing Seizure Gets His Pocket Picked at Walmart?	16 January 2017	None	['None']
pomt-09403	Marco Rubio is a "Miami lobbyist."	mostly false	/florida/statements/2010/mar/22/charlie-crist/crist-and-democrats-say-rubio-miami-lobbyist/	The Charlie Crist for U.S. Senate campaign, trying to capitalize on the public perception that lobbying is unseemly, describes Republican Senate candidate Marco Rubio as a "Miami lobbyist" or "Miami Lobbyist-Politician" in its campaign literature. One recent reference appeared in a March 15, 2010, press release that carried the following headline: "Marco Rubio: Can Florida Afford A Miami Lobbyist-Politician Who Laughs At Ethics?" In the release, the word "lobbyist" was mentioned three times in reference to Rubio. The Florida Democratic Party also labels Rubio as "a lobbyist" in its press releases. In a March 21 statement e-mailed to reporters, the Democrats twice referred to Rubio as a "lobbyist" in criticizing him for not standing up to Tea Party activists. "Looks like Lobbyist Marco Rubio isn’t the only extremist Republican afraid to stand up to the Tea Party’s racial and homophobic slurs today," said the release, which included a story from Roll Call, a Capitol Hill newspaper, noting racial slurs hurled against members of Congress as they arrived to the House for the vote on health care reform. So was Rubio a Miami lobbyist? And is he still a Miami lobbyist? We first went to the Miami City database of lobbyists and found no such evidence, and called Miami City Hall as well. A clerk there searched and said there is no Marco Rubio listed as a lobbyist as far back as they keep records – to 2003. Next we went to Miami-Dade County, a separate, larger jurisdiction. It has an elaborate Guide to Lobbyist Registration that outlines "applicable laws governing lobbyists doing business with the government of Miami-Dade County." The procedures include registration, fees as well as a reporting requirement for when a lobbyist is no longer representing a client. There we found that Rubio registered seven times: three times in 1997, a year after he got out of law school, on mundane zoning and code enforcement efforts; twice in 1998 on behalf of a real estate effort and something called the American Sales & Management Org.; and once each in 2001 and 2002 as agent for companies listed as the Main Line Corp., a computer equipment company, and Pan American, a developer. Miami-Dade lobbyist registrar Keith Knowles told us the paper records of that period have since been destroyed – a common county hall practice, with no backup to microfilm or microfiche. But he said the county database still reflects accurate lobbyist filings, and that Rubio filed a form closing out his record as a lobbyist on May 31, 2005. (He served in the Florida House from 2000-2008.) So technically Rubio ceased to be a registered lobbyist with the county on May 31, 2005. But in fact, says Knowles, county records reflect that Rubio paid his last registration fee on April 26, 2002 -- $125 to represent Pan American, and did not renew the required lobbyist’s fee in October of that year, when his two-year $500 registration expired. To provide a little context, it appears that Rubio did some lobbying a year after he got his law degree and while serving as a commissioner in West Miami, a small city in the county. He kept his file active at County Hall during his first five years with the Florida Legislature although he did not have any lobbying clients after 2002. Rubio did some of this work while at the Becker & Poliakoff law firm. So we checked with partner Alan Becker, who confirmed that the last two registrations -- Pan American and The Main Line Corp -- were during Rubio's August 2001-June 2004 tenure there. Becker told us, "I think it's a stretch to say he was a lobbyist. He was a lawyer representing clients who had issues involving government. But the law doesn’t distinguish and requires you to register as a lobbyist." Rubio came to Becker's firm after working for Tew Cardenas, a well-connected lobbying and legal firm. While with Becker, Rubio rose to be majority leader in the Florida House. When Rubio left Becker's firm, for the Miami firm of Broad and Cassel, which did not lobby in Tallahassee, Rubio was in line to become speaker of the Florida House. Becker said the lobbying work done in 2001 and 2002 were "very short representations" before the county and that Rubio was primarily an attorney. "As far as I was concerned I hired a lawyer who represented clients who often had governmental issues and that required you to register as a lobbyist." (Becker gives to Republicans and Democrats and has contributed money to both the Rubio and Crist campaigns.) But Alex Burgos, Rubio's campaign spokesman, the lobbyist claim is a "silly" attack. In a statement last month to the Miami Herald, he said that Rubio "worked as an attorney for law firms that did Request for Proposal (RFP) and land use work in Miami-Dade County." "Out of an abundance of caution, law firms engaged in this type of work often register their lawyers as lobbyists. In fact, all lawyers representing clients on land use matters are supposed to register as lobbyists. While Marco worked on land use contracts and RFPs, he never met with elected officials to influence them on behalf of clients,'' he told the Herald. So, we find that it's quite a stretch for Crist's campaign to call Rubio a "Miami lobbyist," which conjures images of a high-priced lawyer representing fat-cat clients in Tallahassee or Washington. But that's misleading in two ways. The Crist campaign and Florida Democrats use the present tense, indicating that Rubio is a lobbyist. But he formally withdrew nearly five years ago. Also, his work was not what we traditionally think of as lobbying -- the Gucci-wearing attorney who seeks to influence the state Legislature or Congress. He worked at the local level, primarily on zoning matters. So we find the claim to be Barely True. Editor's note: This statement was rated Barely True when it was published. On July 27, 2011, we changed the name for the rating to Mostly False.	None	Charlie Crist	None	None	None	2010-03-22T18:07:42	2010-03-15	['Marco_Rubio', 'Miami']
vogo-00574	Fact Check TV: The Sheriff's Race, South Bay Power Plant & Factual Emergency Warning	none	https://www.voiceofsandiego.org/topics/news/fact-check-tv-the-sheriffs-race-south-bay-power-plant-factual-emergency-warning/	None	None	None	None	None	Fact Check TV: The Sheriff's Race, South Bay Power Plant & Factual Emergency Warning	June 1, 2010	None	['None']
pomt-05293	"Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees."	true	/rhode-island/statements/2012/may/23/brendan-doherty/ri-congressional-candidate-brendan-doherty-says-fe/	Brendan Doherty, like a lot of candidates, says if he’s elected to Congress in November he’ll put a stop to "rampant fraud and waste" in government spending. On his campaign website, the Republican candidate for the First District seat and former head of the Rhode Island State Police, says he’ll use his years in law enforcement to "shine a light on the unconscionable abuse of hard-earned taxpayer funds." Among examples of abuse he lists are the purported millions of dollars in pension benefits the federal government distributes each year to federal retirees who are, well, dead: "Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees." We’ve heard stories of dead people voting before, but are they also getting hundreds of millions in pension payments? We called Doherty’s campaign to find out where the candidate got his information. Spokesman Robert Coupe told us he thought the $601 million figure was pretty large when he first heard it from campaign staffers. He said it came from "Wastebook 2011," the latest edition of an annual compilation of questionable government spending put out by Sen. Tom A. Coburn, R-Oklahoma. We checked "Wastebook 2011," which indeed mentions "over $601 million" paid out to deceased federal workers in the last five years, with footnotes citing the source: a report issued by the U.S. Office of Personnel Management’s Office of the Inspector General, titled, appropriately enough, "Stopping Improper Payments to Deceased Annuitants." According to the Office of Personnel Management’s report, "the amount of post-death improper payments is consistently $100-$150 million annually." Some of what the federal government calls "improper payments" is outright fraud -- people with electronic access to the deceased’s bank accounts taking the money. And some of it is because the money was electronically transferred into what are now inactive bank accounts. The money can sit there piling up for years before anyone notices. Special efforts have been under way since at least 2005 to reduce payments going to dead retirees and their survivors, the report says. Those efforts have included matching the rolls of eligible recipients with the Social Security Administration’s death records on a weekly and annual basis, doing similar checks with the IRS to see who’s still filing returns, and random phone calls to retirees over 90 years old just to make sure they’re still around. Those steps have helped identify the scope of the problem, Susan L. Ruge, a spokeswoman in the Office of Personnel Management’s inspector general’s office, said in an e-mail. In fiscal year 2010, for instance, the office identified $116.8 million in improper payments going to dead retirees or survivors. But solving the problem is another matter. According to the Personnel Management’s report: "There remains a high probability that egregious loss of monies from the [civil service] fund will continue and require strategic corrective actions." It notes one case of a man illegally pocketing more than $515,000 by cashing in his dead father’s monthly retirement checks -- for 37 years. Ruge said 94 percent of annuity payments are transferred electronically into bank accounts as opposed to the older method of mailing checks. The office of inspector general, she said, has no breakdown as to payments stolen by others with access to those accounts and money lost by languishing into those unattended accounts. "In overpayment cases where no theft has occurred, there is greater potential for EFT (electronic fund transfer) overpayments to continue undetected, simply because no one is monitoring the deceased annuitant’s bank account," said Ruge. If there is good news in any of this it is this: while $601 million going to dead people in the last five years sounds like a lot of money, it represents less than 2.5 percent of all civil service retirement disbursements, the report claims. Our Ruling Doherty’s website says "Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees." The campaign accurately quoted a figure whose source is a report issued by the U.S. Office of Personnel Management’s Office of the Inspector General. We rate his statement True. Rhode Island’s former top cop is setting his bar of expectation pretty high if he’s promising to curb this kind of "rampant fraud and waste." We’ll be watching. Get updates from PolitiFactRI on Twitter. To comment or offer your ruling, visit us on our PolitiFact Rhode Island Facebook page.	None	Brendan Doherty	None	None	None	2012-05-23T00:01:00	2012-05-15	['None']
snes-00420	Undocumented immigrants have killed 63,000 U.S. citizens since 9/11.	false	https://www.snopes.com/fact-check/have-undocumented-killed-63000-us-9-11/	None	Politics	None	Arturo Garcia	None	Have Undocumented Immigrants Killed 63,000 American Citizens Since 11 September 2001?	22 June 2018	None	['United_States']
pomt-08388	On possibly raising the Social Security retirement age.	full flop	/texas/statements/2010/oct/24/bill-flores/bill-flores-says-he-has-consistently-opposed-raisi/	In France, the president’s push to raise the age at which residents qualify for retirement benefits incited violent protests. In Texas, a Republican candidate speculated about trying something similar here and protested his own remarks. Bill Flores of Bryan, the Republican challenger to ninth-term U.S. Rep. Chet Edwards, D-Waco, said in an Oct. 12 TV interview that he didn't oppose raising the age at which seniors can receive Social Security checks to 70. "I'd have to look at what the actual economics are," Flores told WFAA-TV in Dallas. "I'm not philosophically opposed to raising the retirement age... I accept the fact that I may have to raise my retirement age for that." Flores' comment was politically daring, though it's not out of step with talk among Washington wonks. In July, the nonpartisan Urban Institute said in a fact sheet on retirement policy that increasing Social Security's retirement age "appears to be gaining political traction," noting that in June, the majority and minority leaders of the U.S. House "expressed willingness to raise the retirement age." On its sheet, the institute lists pros and cons to raising the retirement age. Currently, beneficiaries can receive reduced-benefit checks starting at age 62 or choose to get full benefits starting at age 66. In short, raising the retirement age would promote work at older ages, improve the Social Security system's solvency by shortening retirements and reducing lifetime benefits, and better target benefits to the oldest Americans, according to the institute. Among the pitfalls, a new hardship could be imposed on workers with health problems unless Congress improves other programs and raising the retirement age could strain low-skilled workers. Then again, Flores insisted shortly after the WFAA interview that he didn't mean what he said. Before the news clip aired on Oct. 17, Flores asked the station to not run it. According to an Oct. 15 news story posted on WFAA, Flores said he had a "headache" during the interview and "misspoke." Also Oct. 15, Flores issued this statement, according to WFAA: "Voters should be assured that I absolutely do not support raising the retirement age for Social Security." Three days later, according to WFAA, Flores was interviewed on College Station's WTAW-AM, saying: "I am philosophically opposed to raising the retirement age. I misspoke and said I was not philosophically opposed." In his own interview, aired by WFAA Oct. 17, Edwards said: "I would not vote to raise the retirement age to 70 because there are just too many Americans that work hard all their lives and just simply physically couldn't work until they are 70." Edwards subsequently lampooned Flores for backpedaling. In an Oct. 22 press release about the candidates' upcoming debates, Edwards spokeswoman Megan Jacobs said: "After claiming that a 'headache' caused Mr. Flores to say he is 'not philosophically opposed' to raising the Social Security retirement age to 70, we wonder if any ailments will sway his position at these upcoming debates." The same day, the Waco Tribune-Herald added fuel to the fire with a news story based on conservative radio host Shane Warner of Waco publicizing an April interview he had with Flores. In the interview, the audio of which Warner excerpted on his blog Oct. 19, Flores seems to agree that changing the retirement age should be considered. Said Warner: "And how do we do that, what specifically, I mean, do we raise the retirement age? Do we start cutting benefits? What do we do?" Flores: "I think almost everything has to be on the table... You've got to look at a way to grow the economy higher so that you have more tax revenues going into the system, you've got to look at different retirement ages that are based on today's lifespan, and you've also got to look at how we grow the Social Security trust fund itself." When we followed up with the Flores campaign, spokesman Matt Mackowiak sent a statement from Flores: "I am against raising the retirement age. I have been consistent in saying we have to grow our economy and create more jobs to fill Social Security's $16 trillion unfunded liability." Mackowiak told us that he doesn't think the April radio clip "disproves that." In a statement following the WFAA interview from the Flores campaign that Warner posted on his blog, Flores said: "I have consistently opposed raising the retirement age for Social Security." On the blog, Warner counters: "That's not true. He told me in the spring that changing the retirement age should be an option that's on the table to improve the system. Many Republicans talk tough about fiscal responsibility until the stuff starts to hit the fan." Our finding? Flores now says he firmly opposes raising the retirement age and has done so consistently. But twice he has said he's open to looking at raising it. Grab the aspirin. This is a Full Flop on the Flip-O-Meter. We have updated this story to correct the Social Security retirement age that Megan Jacobs, a spokeswoman for Rep. Chet Edwards, said Bill Flores said he is 'not philosophically opposed' to raising it to. Jacobs said that Flores said he 'is not philosophically opposed' to raising it to 70, not 80.	None	Bill Flores	None	None	None	2010-10-24T06:00:00	2010-10-15	['None']
tron-02704	Video Shows Swimming Pool During Earthquake in Nepal	fiction!	https://www.truthorfiction.com/video-shows-swimming-pool-during-earthquake-in-nepal/	None	natural-disasters	None	None	['Trending Rumors']	Video Shows Swimming Pool During Earthquake in Nepal	May 6, 2015	None	['None']
pomt-12405	"NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days."	pants on fire!	/punditfact/statements/2017/may/24/blog-posting/persistent-story-about-nasa-paying-people-18000-li/	An online story that claimed NASA pays people thousands to smoke marijuana in bed for months is actually a viral legend that has been in orbit for quite awhile now. "NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days," read the headline on a Jan. 2, 2017, post on TheSolExchange.com, a blog that is largely concerned with the latest developments in athletic sneakers. Judging by the number of commenters asking to be signed up, there also is an audience for marijuana studies. Facebook users flagged this post as possibly being fabricated, as part of the site’s efforts to fight fake news in users’ social media feeds. "NASA has put out an ad looking for people who’re willing to take part in their ‘Rest Studies’ – a study which will require participant to spend 70 straight days in bed, relaxing and smoking different types of cannabis, for which they will receive a salary of 18.000 USD," the post read. "During the relaxation period participants are allowed to read books, play games, Skype and smoke weed. They can do whatever they want as long as it involves staying in bed, week after week, earning a cool 1200 USD per week." There are more details on the post, but you get the gist. We found versions of the same story on several other blogs going back to at least March 2016, all claiming NASA is doling out the big bucks for people who want to lounge all day and spark up. Pretty good hustle, right? Except it’s not true. Well, it’s true that NASA does perform bed rest studies. The goal is to examine the potential effects of weightlessness on astronauts, and lying in bed with your head tilted down at a six-degree angle is apparently a fair substitute. The studies sound pretty much as described at TheSolExchange.com — except for the cannabis part. Several media outlets like the Houston Chronicle, Forbes, Vice and CBS News have written in the past about the studies, which involve people getting paid something on the order of $1,200 per week for 15 weeks (that’s $18,000) to hang out in bed. But it’s not all that great of a time, from the sound of it. Boredom is a constant problem, as every moment of a volunteer’s life is spent in bed for that time. Scientists continually poke and prod them, taking readings and measurements on everything from weight to bone density. Volunteers are told when and what to eat, and have to do everything in bed. That means eating, exercising, showering and even, yes, using the facilities while lying down. A NASA spokesman told us that there have not been any sleep studies that involved consuming cannabis. There also aren’t any more sleep studies currently planned, so it’s not like NASA is suddenly going to try it the next time. Blog posts that have been saying that NASA is paying subjects $18,000 to lie in bed and smoke marijuana for 70 days are pretty far out. The only lighting up we see here is when we rate this Pants On Fire! See Figure 1 on PolitiFact.com	None	Bloggers	None	None	None	2017-05-24T09:37:37	2017-01-02	['None']
hoer-01222	George Zimmerman Dead	fake news	https://www.hoax-slayer.net/george-zimmerman-targeted-in-another-death-hoax/	None	None	None	Brett M. Christensen	None	George Zimmerman Targeted In Another Death Hoax	July 1, 2017	None	['None']
